Ticker,Company Name,Currency,Exchange,Country/Region,Type,Price,Avg Vol
VRLAEUR EU Equity,Verallia SA,EUR,EU,FR,Common Stock,26.08,343022.2
BOL1 EU Equity,Bollore SE,EUR,EU,FR,Common Stock,4.94,4032744
ORAP FP Equity,ORAPI,EUR,FP,FR,Common Stock,5.46,1964.4
ZC FP Equity,Zodiac Aerospace,EUR,FP,FR,Common Stock,#N/A N/A,#N/A N/A
ALNEO FP Equity,Alpha MOS SACA,EUR,FP,FR,Common Stock,2.355,9153.033
CNP EU Equity,CNP Assurances,EUR,EU,FR,Common Stock,20.9,1577287
RXL EU Equity,Rexel SA,EUR,EU,FR,Common Stock,20.08,2028154
AFME FP Equity,Affluent Medical SA,EUR,FP,FR,Common Stock,4.22,363.5333
ALAGO FP Equity,E-Pango SAS,EUR,FP,FR,Common Stock,#N/A N/A,0
ALSMA FP Equity,SMAIO SASU,EUR,FP,FR,Common Stock,4.76,1355.933
CMO FP Equity,Caisse Regionale de Credit Agricole du Morbihan,EUR,FP,FR,Common Stock,64.31,239.1
ALKEY FP Equity,Keyrus,EUR,FP,FR,Common Stock,3.61,4179
GTTEUR EU Equity,Gaztransport Et Technigaz SA,EUR,EU,FR,Common Stock,122.7,269449.6
ALDBL FP Equity,Bernard Loiseau SA,EUR,FP,FR,Common Stock,4,271.9
ALHF FP Equity,HF Co,EUR,FP,FR,Common Stock,6.66,4352.7
ALNTG FP Equity,NetGem SA,EUR,FP,FR,Common Stock,1.385,8329.134
FAU GR Equity,Faurecia SE,EUR,GR,FR,Common Stock,26.1,959.7667
MUN FP Equity,Micropole,EUR,FP,FR,Common Stock,1.224,23066.4
RMS EU Equity,Hermes International,EUR,EU,FR,Common Stock,1112.5,181359.8
OCS FP Equity,Idemia France SAS,EUR,FP,FR,Common Stock,#N/A N/A,#N/A N/A
ALDLS FP Equity,D.L.S.I.,EUR,FP,FR,Common Stock,11.25,910.1667
EAPIP TQ Equity,Euroapi SA,EUR,TQ,FR,Common Stock,13.44,#N/A N/A
AYJ GR Equity,Valneva SE,EUR,GR,FR,Common Stock,11.48,66331.97
DG EU Equity,Vinci SA,EUR,EU,FR,Common Stock,90.23,3249540
DVT FP Equity,Devoteam SA,EUR,FP,FR,Common Stock,#N/A N/A,0
EUR FP Equity,Euro Ressources SA,EUR,FP,FR,Common Stock,3.4,11284.93
GPAS FP Equity,Caisse Nationale de Reassurance Mutuelle Agricole Groupama,EUR,FP,FR,Common Stock,#N/A N/A,#N/A N/A
AC EU Equity,Accor SA,EUR,EU,FR,Common Stock,30.7,1554247
ALUNT FP Equity,Uniti SA,EUR,FP,FR,Common Stock,2.54,207
