Ticker,Company Name,Currency,Exchange,Country/Region,Type,Price,Avg Vol,sedol
AVT FP Equity,Avenir Telecom,EUR,FP,FR,Common Stock,0.018,66423210.0,
ALMDT FP Equity,MEDIAN Technologies,EUR,FP,FR,Common Stock,11.12,22764.93,
ALEUP FP Equity,Europlasma,EUR,FP,FR,Common Stock,0.0093,20892750.0,
ALGAU FP Equity,Gaussin,EUR,FP,FR,Common Stock,4.746,180621.6,
ALHYP FP Equity,HiPay Group SA,EUR,FP,FR,Common Stock,12.12,4380.933,
ING FP Equity,Ingenico Group SA,EUR,FP,FR,Common Stock,,,4196897
LVMH IM Equity,LVMH Moet Hennessy Louis Vuitton SE,EUR,IM,FR,Common Stock,606.2,602.5,
COX FP Equity,Nicox,EUR,FP,FR,Common Stock,1.782,56028.57,BZ16HF5
TNG FP Equity,Transgene SA,EUR,FP,FR,Common Stock,2.455,27157.07,
PERR FP Equity,Gerard Perrier Industrie SA,EUR,FP,FR,Common Stock,88.4,507.5667,
IGE FP Equity,IGE + XAO,EUR,FP,FR,Common Stock,210.0,54.03333,
MEDCL FP Equity,Medincell SA,EUR,FP,FR,Common Stock,5.5,38002.9,
PREC FP Equity,Precia SA,EUR,FP,FR,Common Stock,33.0,465.8667,
TOUP FP Equity,Touax SCA-SGTR-CITE-SGT-CMTE-TAF-SLM Touage Investissments Reunies,EUR,FP,FR,Common Stock,8.6,5659.133,
ATA FP Equity,Atari SA,EUR,FP,FR,Common Stock,0.1609,984498.1,
ALNEV FP Equity,Neovacs,EUR,FP,FR,Common Stock,0.1773,285326.5,
RBO FP Equity,Roche Bobois SAS,EUR,FP,FR,Common Stock,33.0,626.1,
ALVER FP Equity,Vergnet SA,EUR,FP,FR,Common Stock,0.065,768560.3,
ALDRV FP Equity,Drone Volt SACA,EUR,FP,FR,Common Stock,0.0414,7378841.0,
ALMOU FP Equity,Moulinvest SA,EUR,FP,FR,Common Stock,61.8,3640.1,
ALVU FP Equity,Vente-Unique.Com SA,EUR,FP,FR,Common Stock,11.4,2880.133,
SFPI FP Equity,Groupe SFPI,EUR,FP,FR,Common Stock,2.85,42691.17,
NRG FP Equity,NRJ Group,EUR,FP,FR,Common Stock,6.14,5800.033,5996126
